product_id,variation_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,tags,description,short_description,ncm,images,price,price_compare,model,gender,age_group,warranty,active,brand,category_1,category_2,category_3,reference,gtin,mpn,stock,color,variation,variation_price,sku
,,Smart Univ Divertidamente 80f ( Troca Folha),,,,,,,,,,,,,,119.00,,,,,,,,,,,,,,4,,,,
,,Smart Univ Hello.,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,4,,,,
,,Smart Colegial,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caderno,,,,
,,Caderno Smart Colegial Hello 80f DAC,,,,,,,,,,,,,,82.00,,,,,,,,,,,,,,4,,,,
,,Caderno Smart Colegial Pooh,,,,,,,,,,,,,,83.00,,,,,,,,,,,,,,4,,,,
,,Caderno Smart Colegial Mickey,,,,,,,,,,,,,,83.00,,,,,,,,,,,,,,4,,,,
,,Caderno Smart Colegial Minnie,,,,,,,,,,,,,,83.00,,,,,,,,,,,,,,4,,,,
,,Caderno Smart Colegial Divertidamente,,,,,,,,,,,,,,99.00,,,,,,,,,,,,,,4,,,,
,,Caderno,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini,,,,
,,Mini Caderno Smart Pooh 80f Reposicionaveis e divisórias DAC.,,,,,,,,,,,,,,97.00,,,,,,,,,,,,,,4,,,,
,,Mini Caderno Smart Snoopy 80f Reposicionaveis e divisórias  DAC.,,,,,,,,,,,,,,97.00,,,,,,,,,,,,,,4,,,,
,,Fichario,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini,,,,
,,Mini Fichario Smart Pooh.,,,,,,,,,,,,,,46.00,,,,,,,,,,,,,,4,,,,
,,Mini Fichario Smart Mickey,,,,,,,,,,,,,,46.00,,,,,,,,,,,,,,4,,,,
,,Guarda-chuva Stitch.,,,,,,,,,,,,,,97.00,,,,,,,,,,,,,,10,,,,
,,Estojo Box Hello Kitty com Relevo,,,,,,,,,,,,,,140.00,,,,,,,,,,,,,,10,,,,
,,Estojo Box Stitch c Relevo 50 pens,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,5,,,,
,,Estojo Box Capivara c Relevo,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,5,,,,
,,Estojo Box Mário.,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,3,,,,
,,Estojo Box H. Aranha,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,3,,,,
,,Estojo Box  H. Ferro.,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,3,,,,
,,Apontador H. Ferro,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Estojo Box C. América,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,3,,,,
,,Apontador C. América,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Fone Head Unicornio,,,,,,,,,,,,,,117.00,,,,,,,,,,,,,,3,,,,
,,Luminárias Clip,,,,,,,,,,,,,,38.00,,,,,,,,,,,,,,5,,,,
,,Marca Texto Sorvete,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,6,,,,
,,Borracha Hello Kitty Lápis,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,11,,,,
,,Lapis Infinito Metal Capivara,,,,,,,,,,,,,,14.00,,,,,,,,,,,,,,12,,,,
,,Caderno Capa Couro Harry Potter,,,,,,,,,,,,,,100,,,,,,,,,,,,,,6,,,,
,,Mini Caderno C Dura Harry Potter,,,,,,,,,,,,,,98,,,,,,,,,,,,,,4,,,,
,,Caderno Luxo Capivara.,,,,,,,,,,,,,,100,,,,,,,,,,,,,,4,,,,
,,Caderno Pelúcia Hello Kitty,,,,,,,,,,,,,,87.5,,,,,,,,,,,,,,5,,,,
,,Caderno c Div Hello Kitty,,,,,,,,,,,,,,100,,,,,,,,,,,,,,10,,,,
,,Caderno c Div Liga Justiça,,,,,,,,,,,,,,100,,,,,,,,,,,,,,4,,,,
,,Corretivo Stitch.,,,,,,,,,,,,,,23,,,,,,,,,,,,,,12,,,,
,,Funkos.,,,,,,,,,,,,,,130,,,,,,,,,,,,,,12,,,,
,,Corretivo Peq Hello Kitty,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
,,Luminária Clip,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
,,Conjunto de 8 Pincéis c Carimbo,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,2,,,,
,,Fichario Sianrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Fichario Boneca,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Aquarela Cinnamorol,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Aquarela Kuromi,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Aquarela  My Melody,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Compasso Capivara.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,4,,,,
,,Borracha Capivara,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
,,Borrachas Mickey.,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,3,,,,
,,Borracha  Minnie.,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,2,,,,
,,potes Bob,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Marcadores Espaço,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
,,Caneta Pelucia Stitch,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,12,,,,
,,Caneta  Click Cabeça Stitch.,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,12,,,,
,,Grampeador Stitch.,,,,,,,,,,,,,,87.00,,,,,,,,,,,,,,4,,,,
,,Sacola Stitch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Grampeador Hello Kitty.,,,,,,,,,,,,,,87.00,,,,,,,,,,,,,,4,,,,
,,Grampeador Kuromi.,,,,,,,,,,,,,,87.00,,,,,,,,,,,,,,2,,,,
,,Caneta luxo Batom.,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,28,,,,
,,Marca Texto Avenger.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,2,,,,
,,Marca Texto Mario.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,1,,,,
,,Estojo Mario.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Marca Texto My Melody.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,2,,,,
,,Marca Texto Kuromi.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,2,,,,
,,Rolo Adesivo Capivara.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,3,,,,
,,Rolo Adesivo.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,1,,,,
,,Mini Bloco Cinnamorol.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,2,,,,
,,Mini Bloco My Melody.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,1,,,,
,,Mini Bloco Pom.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,1,,,,
,,Mini Bloco kuromi.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,1,,,,
,,Borracha Monstro.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,2,,,,
,,Foguete.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,01Borracha,,,,
,,Borracha Urso.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,1,,,,
,,Conj Pincéis c Carimbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Conj Marca Texto Neon.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,2,,,,
,,Caneta Apagavel Avenger,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,12,,,,
,,Caneta Click Avenger.,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,12,,,,
,,Lapis Infinito Avenger.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,12,,,,
,,Lapis Infinito Pastel.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,12,,,,
,,Lapis Infinito Sanrio.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,12,,,,
,,Caneta Click Kuromi.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,12,,,,
,,Caneta Click Hello Kitty,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
,,Borracha Simples Lotso,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,
,,Borracha Bastão Boneca.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,3,,,,
,,Apontador Boneca,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
,,Borracha Bastão Espaço,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Apontador  Espaço,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Apontador Bob esponja,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
,,Apontador Sanrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
,,Borracha Bastao Astronauta,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Borracha Bastão Lotso,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Borracha Bastão Dino.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,3,,,,
,,Cola Bastão Stitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
,,Chaveiro Harry Potter.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,4,,,,
,,Canetas 10 Cores Harry Potter,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,6,,,,
,,Clips p Papeis 2.0.,,,,,,,,,,,,,,14.00,,,,,,,,,,,,,,6,,,,
,,Compasso c Grafite Kas.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,2,,,,
,,Compasso c Lapis Kas.,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,1,,,,
,,Gizao de Cera Big Kas.,,,,,,,,,,,,,,21.00,,,,,,,,,,,,,,2,,,,
,,Giz de Cera em Gel Metalico Kas.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,2,,,,
,,Giz de Cera em Gel Cor da Pele Kas,,,,,,,,,,,,,,40.,,,,,,,,,,,,,,2,,,,
,,Furador Kas.,,,,,,,,,,,,,,44.00,,,,,,,,,,,,,,1,,,,
,,Fita Corretiva Dino.,,,,,,,,,,,,,,42.00,,,,,,,,,,,,,,2,,,,
,,Marca Texto Fruit-tella.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,2,,,,
,,Conj Caneta Frut-tella.,,,,,,,,,,,,,,23.00,,,,,,,,,,,,,,2,,,,
,,Borracha ice-cream Kas.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,5,,,,
,,Grafite  Unicornio 0.7 mm.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,12,,,,
,,Fita Dupla Face 12 mm x 2m.,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,4,,,,
,,Pincel Marcador Permanente.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,12,,,,
,,Pincel Marcador Artistico Dual Point,,,,,,,,,,,,,,75.00,,,,,,,,,,,,,,2,,,,
,,Tesoura Urso 13 cm Kas,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Tesoura Tigre 13 cm kas,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Marcador Fineliner Mundo Rosa Fofy.,,,,,,,,,,,,,,36.,,,,,,,,,,,,,,1,,,,
,,Conj c 6 Caneta Esferografica Pastel,,,,,,,,,,,,,,40.,,,,,,,,,,,,,,2,,,,
,,Conj c 7 Caneta Esferografica Pastel 1.0 Ponta metálica tipo agulha.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,1,,,,
,,Conj De 15 Marcadores.,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,2,,,,
,,Historias Biblicas.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,2,,,,
,,Conj Caneta Magica.,,,,,,,,,,,,,,37.00,,,,,,,,,,,,,,3,,,,
,,Ponteira.,,,,,,,,,,,,,,0.60,,,,,,,,,,,,,,48,,,,
,,Garrafa Harry Potter.,,,,,,,,,,,,,,44.00,,,,,,,,,,,,,,1,,,,
,,Óculos Harry Potter,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Garrafa Bob Esponja Transparente,,,,,,,,,,,,,,52,,,,,,,,,,,,,,1,,,,
,,Garrafa Bob Esponja Amarela.,,,,,,,,,,,,,,55,,,,,,,,,,,,,,1,,,,
,,Garrafa Kuromi.,,,,,,,,,,,,,,45.50,,,,,,,,,,,,,,1,,,,
,,Garrafa Hello Kitty Branca.,,,,,,,,,,,,,,45.50,,,,,,,,,,,,,,1,,,,
,,Garrafa Hello Kitty Rosa.,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,1,,,,
,,Garrafa Snoopy.,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,1,,,,
,,Mapa Magico.,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,5,,,,
,,Dinheirinho.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,6,,,,
,,Livro Colorir Carros.,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,3,,,,
,,Livro Colorir Moana.,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,4,,,,
,,Pastas A4 Pastel.,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,3,,,,
,,Cozy Circus.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,5,,,,
,,Sunny Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
,,Cozy Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Comfy Days.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,1,,,,
,,Cute Buddies,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,
,,Cute World.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,4,,,,
,,Ventiladores.,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
,,Fine Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Rolos Impressora,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,
,,Chaveiro Porta Objeto.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,5,,,,
,,Deposito Cenoura,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,
,,Caneta Cenoura.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,12,,,,
,,Marca Texto Cenoura.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,12,,,,
,,Estilete Flor.,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,5,,,,
,,Marca Texto Esporte.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,6,,,,
,,Estojo Transparente.,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,12,,,,
,,Clip p Cabelo.,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,2,,,,
,,Faixa p Cabelo.,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,3,,,,
,,Fone de Ouvido Divertido.,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Espelho Urso,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Pares Brinco Diversos,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,
,,Presilha Pom Pom.,,,,,,,,,,,,,,15,,,,,,,,,,,,,,10,,,,
,,Presilha Adulto,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
,,Cartela Presilha Infantil,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
,,Cartela Piranha Infantil,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Cartela Presilha Laço.,,,,,,,,,,,,,,30,,,,,,,,,,,,,,12,,,,
,,Faixas Recém Nascido.,,,,,,,,,,,,,,65,,,,,,,,,,,,,,12,,,,
,,Corrente p Crachá.,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,12,,,,
,,Urso Cinza.,,,,,,,,,,,,,,83,,,,,,,,,,,,,,2,,,,
,,Urso Creme.,,,,,,,,,,,,,,83,,,,,,,,,,,,,,1,,,,
,,Urso Marrom.,,,,,,,,,,,,,,91,,,,,,,,,,,,,,2,,,,
,,Cenoura Pelúcia.  38.5.  ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
,,Chaveiro Coelho vestido.,,,,,,,,,,,,,,31.00,,,,,,,,,,,,,,3,,,,
,,Chaveiro Coelho Creme.,,,,,,,,,,,,,,21.30,,,,,,,,,,,,,,4,,,,
,,Chaveiro Coelho marrom.,,,,,,,,,,,,,,21.30,,,,,,,,,,,,,,4,,,,
,,Chaveiro Coelho Rosa Claro.,,,,,,,,,,,,,,21.30,,,,,,,,,,,,,,4,,,,
,,Chaveiro Coelho Creme  Claro.,,,,,,,,,,,,,,21.30,,,,,,,,,,,,,,1,,,,
,,Chaveiro Coelho Pink.,,,,,,,,,,,,,,21.30,,,,,,,,,,,,,,3,,,,
,,Coelho c Cenoura.,,,,,,,,,,,,,,60.00,,,,,,,,,,,,,,3,,,,
,,Pct Balão c 5 balões Color.,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Pct Confete,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Rolo de fita 50 mPink,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Rolo de fita 50 m Verde Água.,,,,,,,,,,,,,,3.60,,,,,,,,,,,,,,1,,,,
,,Rolo de fita 50 m Azul,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Rolo de fita 10 m Bronze.  1M =,,,,,,,,,,,,,,3.60,,,,,,,,,,,,,,1,,,,
,,Rolo de fita 10 m Azul Bebê,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Meia Autismo.,,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,2,,,,
,,Meia Mario,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Meia Mickey,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Meia Harry Potter,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Meia Stitch Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Meia Stitch Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Meia Snoopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Meia listrada Preta,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Meia Listrada Branca.,,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,1,,,,
,,Meia Capivara,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Meia Hello Kitty Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Meia Hello Kitty Laranja,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Meia Mulher Maravilha,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Meia Bob Esponja,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Meia Patrick.,,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,1,,,,
,,Meia Lula Molusco,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Meia Pooh.,,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,1,,,,
,,Sacola Média c Alça.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,3,,,,
,,Sacola Peq c Alça.,,,,,,,,,,,,,,23.00,,,,,,,,,,,,,,2,,,,
,,Sacola Transparente c Alça.,,,,,,,,,,,,,,17.50,,,,,,,,,,,,,,9,,,,
,,Saco Organza.   25×40.,,,,,,,,,,,,,,11.00,,,,,,,,,,,,,,10,,,,
,,Saco Organza.  15×23.,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,10,,,,
,,"Pct Balão 5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Paleta Hello Kitty,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,2,,,,
,,Kit Mini Esponja.,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,2,,,,
,,Clip p Cabelo.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,2,,,,
,,Trio Contorno.,,,,,,,,,,,,,,37,,,,,,,,,,,,,,3,,,,
,,Espelho Urso.,,,,,,,,,,,,,,10,,,,,,,,,,,,,,3,,,,
,,Faixa Cabelo.,,,,,,,,,,,,,,15,,,,,,,,,,,,,,3,,,,
,,Máscara Cílios.,,,,,,,,,,,,,,27,,,,,,,,,,,,,,4,,,,
,,Lip Gloss.,,,,,,,,,,,,,,23,,,,,,,,,,,,,,5,,,,
,,Cad A5 Mônica.,,,,,,,,,,,,,,155.33,,,,,,,,,,,,,,5,,,,
,,Cad. Desenho Mônica.,,,,,,,,,,,,,,39.00,,,,,,,,,,,,,,5,,,,
,,Cad X Elástico Azul Alice.,,,,,,,,,,,,,,72.00,,,,,,,,,,,,,,4,,,,
,,Cad Colegial 10M Moranguinho CD.,,,,,,,,,,,,,,75.00,,,,,,,,,,,,,,8,,,,
,,Cad Univ Mônica 10M.,,,,,,,,,,,,,,64.00,,,,,,,,,,,,,,4,,,,
,,Cad Univ Alice 10M.,,,,,,,,,,,,,,84.00,,,,,,,,,,,,,,8,,,,
,,Fichario Colegial  Alice.,,,,,,,,,,,,,,166.00,,,,,,,,,,,,,,4,,,,
,,Fichario Colegial Morango.,,,,,,,,,,,,,,186.00,,,,,,,,,,,,,,8,,,,
,,Refil p Fichario Colegial Moranguinho Vintage.,,,,,,,,,,,,,,35000,,,,,,,,,,,,,,5,,,,
,,Cad Colegial 10M CD Moranguinho,,,,,,,,,,,,,,75.00,,,,,,,,,,,,,,8,,,,
,,Caderno Brochura Moranguinho 160f Folhas decoradas ANIMATIVA.,,,,,,,,,,,,,,88.80,,,,,,,,,,,,,,4,,,,
,,Cad Brochura Alice 160f Folhas decoradas ANIMATIVA.,,,,,,,,,,,,,,98.00,,,,,,,,,,,,,,2,,,,
,,Refil p Fichario Colegial Alice.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,5,,,,
,,Caderno de Colorir 16F Dino.,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,10,,,,
,,Caderno de Colorir 8F Moranguinho,,,,,,,,,,,,,,21.00,,,,,,,,,,,,,,20,,,,
